Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink17:03:23.560000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
17:05:28.842000 Conn: 0001 Handle: 0001  Values: cc00000000000000000000000000000000007800
17:05:29.142000 Conn: 0000 Handle: 0003  Values: cb00000000000000000000000000000000003c00
17:05:29.841000 Conn: 0001 Handle: 0003  Values: cc00000000000000000000000000000000003c00
17:05:30.137000 Conn: 0000 Handle: 0001  Values: cf00000000000000000000000000000000007900
17:05:30.843000 Conn: 0001 Handle: 0001  Values: d000000000000000000000000000000000007a00
17:05:31.139000 Conn: 0000 Handle: 0002  Values: cf00000000000000000000000000000000001900
17:05:31.841000 Conn: 0001 Handle: 0002  Values: d000000000000000000000000000000000001900
17:05:32.141000 Conn: 0000 Handle: 0001  Values: d300000000000000000000000000000000007c00
17:05:32.850000 Conn: 0001 Handle: 0001  Values: d300000000000000000000000000000000007c00
17:05:33.145000 Conn: 0000 Handle: 0003  Values: d300000000000000000000000000000000003e00
17:05:33.847000 Conn: 0001 Handle: 0003  Values: d300000000000000000000000000000000003e00
17:05:34.140000 Conn: 0000 Handle: 0005  Values: d500000000000000000000000000000000000a00
17:05:34.844000 Conn: 0001 Handle: 0001  Values: d700000000000000000000000000000000007e00
17:05:35.143000 Conn: 0000 Handle: 0001  Values: d500000000000000000000000000000000007d00
17:05:35.842000 Conn: 0001 Handle: 0002  Values: d700000000000000000000000000000000001a00
17:05:36.126000  SCAN CMD
17:05:36.146000 Conn: 0000 Handle: 0001  Values: d900000000000000000000000000000000007f00
17:05:36.841000 Conn: 0001 Handle: 0001  Values: da00000000000000000000000000000000008000
17:05:37.141000 Conn: 0000 Handle: 0002  Values: d900000000000000000000000000000000001a00
17:05:37.847000 Conn: 0001 Handle: 0003  Values: da00000000000000000000000000000000004000
17:05:38.144000 Conn: 0000 Handle: 0001  Values: dc00000000000000000000000000000000008100
17:05:38.848000 Conn: 0001 Handle: 0001  Values: dd00000000000000000000000000000000008200
17:05:39.144000 Conn: 0000 Handle: 0003  Values: dc00000000000000000000000000000000004100
17:05:39.849000 Conn: 0001 Handle: 0003  Values: dd00000000000000000000000000000000004100
17:05:40.143000 Conn: 0000 Handle: 0001  Values: e000000000000000000000000000000000008300
17:05:40.849000 Conn: 0001 Handle: 0001  Values: e100000000000000000000000000000000008400
17:05:41.145000 Conn: 0000 Handle: 0002  Values: e000000000000000000000000000000000001b00
